CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Blood Sugar Controlled,C11: Controlling High Blood Pressure,C12: Reducing the Risk of Falling,C13: Improving Bladder Control,C14: Medication Reconciliation Post-Discharge,C15: Plan All-Cause Readmissions,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Transitions of Care,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,C19: Getting Needed Care,C20: Getting Appointments and Care Quickly,C21: Customer Service,C22: Rating of Health Care Quality,C23: Rating of Health Plan,C24: Care Coordination,C25: Complaints about the Health Plan,C26: Members Choosing to Leave the Plan,C27: Health Plan Quality Improvement,C28: Plan Makes Timely Decisions about Appeals,C29: Reviewing Appeals Decisions,C30: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD),Unnamed: 47,C01: Breast Cancer Screening_flag,C02: Colorectal Cancer Screening_flag,C03: Annual Flu Vaccine_flag,C04: Monitoring Physical Activity_flag,C05: Special Needs Plan (SNP) Care Management_flag,C06: Care for Older Adults – Medication Review_flag,C07: Care for Older Adults – Pain Assessment_flag,C08: Osteoporosis Management in Women who had a Fracture_flag,C09: Diabetes Care – Eye Exam_flag,C10: Diabetes Care – Blood Sugar Controlled_flag,C11: Controlling High Blood Pressure_flag,C12: Reducing the Risk of Falling_flag,C13: Improving Bladder Control_flag,C14: Medication Reconciliation Post-Discharge_flag,C15: Plan All-Cause Readmissions_flag,C16: Statin Therapy for Patients with Cardiovascular Disease_flag,C17: Transitions of Care_flag,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions_flag,C19: Getting Needed Care_flag,C20: Getting Appointments and Care Quickly_flag,C21: Customer Service_flag,C22: Rating of Health Care Quality_flag,C23: Rating of Health Plan_flag,C24: Care Coordination_flag,C25: Complaints about the Health Plan_flag,C26: Members Choosing to Leave the Plan_flag,C27: Health Plan Quality Improvement_flag,C28: Plan Makes Timely Decisions about Appeals_flag,C29: Reviewing Appeals Decisions_flag,C30: Call Center – Foreign Language Interpreter and TTY Availability_flag,D01: Call Center – Foreign Language Interpreter and TTY Availability_flag,D02: Complaints about the Drug Plan_flag,D03: Members Choosing to Leave the Plan_flag,D04: Drug Plan Quality Improvement_flag,D05: Rating of Drug Plan_flag,D06: Getting Needed Prescription Drugs_flag,D07: MPF Price Accuracy_flag,D08: Medication Adherence for Diabetes Medications_flag,D09: Medication Adherence for Hypertension (RAS antagonists)_flag,D10: Medication Adherence for Cholesterol (Statins)_flag,D11: MTM Program Completion Rate for CMR_flag,D12: Statin Use in Persons with Diabetes (SUPD)_flag,data_completeness_score,has_meaningful_data,overall_score
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,89.0,93.0,,89.0,91.0,89.0,68.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.19047619047619047,True,75.62625
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.0,False,
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,76.0,76.0,67.0,51.0,80.0,97.0,98.0,45.0,81.0,87.0,78.0,60.0,43.0,85.0,11.0,86.0,66.0,60.0,81.0,84.0,91.0,86.0,88.0,85.0,0.15,19.0,,98.0,98.0,98.0,97.0,0.15,19.0,,89.0,90.0,84.0,86.0,90.0,89.0,86.0,88.0,s,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,72.33250000000001
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.0,False,
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",47.0,31.0,63.0,51.0,83.0,79.0,99.0,,68.0,70.0,70.0,89.0,,31.0,,,35.0,61.0,75.0,82.0,87.0,,80.0,,0.29,23.0,,94.0,81.0,95.0,95.0,0.29,23.0,,82.0,,88.0,83.0,83.0,79.0,92.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.7857142857142857,True,66.80545454545454
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.0,False,
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",Wellcare ,Centene Corporation ,71.0,62.0,61.0,42.0,64.0,92.0,85.0,,71.0,71.0,61.0,43.0,,55.0,,82.0,47.0,55.0,84.0,86.0,91.0,,84.0,,0.41,41.0,,,,98.0,100.0,0.41,41.0,,86.0,,98.0,85.0,85.0,83.0,94.0,81.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.7619047619047619,True,68.74437499999999
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,77.0,84.0,67.0,47.0,,,,30.0,78.0,87.0,73.0,47.0,49.0,90.0,11.0,80.0,74.0,52.0,83.0,87.0,92.0,88.0,90.0,86.0,0.04,4.0,,98.0,98.0,97.0,100.0,0.04,4.0,,87.0,90.0,99.0,82.0,88.0,86.0,81.0,83.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,69.43459459459459
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,75.0,75.0,82.0,52.0,,,,25.0,71.0,84.0,76.0,48.0,51.0,58.0,10.0,83.0,50.0,56.0,81.0,83.0,90.0,86.0,87.0,86.0,0.12,2.0,,99.0,97.0,100.0,100.0,0.12,2.0,,83.0,89.0,98.0,86.0,90.0,88.0,92.0,83.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,68.06054054054053
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,68.0,66.0,63.0,52.0,65.0,95.0,88.0,37.0,64.0,76.0,67.0,57.0,46.0,62.0,11.0,84.0,56.0,53.0,81.0,84.0,89.0,86.0,85.0,85.0,0.33,39.0,,71.0,88.0,98.0,100.0,0.33,39.0,,86.0,88.0,98.0,85.0,88.0,86.0,96.0,82.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,69.1165
